Ticker;Signal;Sector;Sector_ETF;Sub_Theme;Price;ATR_pct;Score;RS_vs_ETF;ADX;MA50_dist_pct;Range_pct;UpDn_Ratio;L3_RS;L4_AboveMA50;L4_MA50slope;L4_ADX_Bull;L4_RangePct_pass;L5_ATRband;L5_NotExtended;L5_UpVol;Entry;Stop;Target;RR;Key_Thesis;Key_Risk;Flag
CVX;TRADE;Energy;XLE;Oil major;196,82;2,03;8;1,0;41,0;11,5;89,8;1,23;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;197,21;174,74;253,38;2,5;"Iran war premium; diversified majors leading XLE; ADX 41; all 8 filters pass";"Commodity cycle turn; refining margin risk";
COP;TRADE;Energy;XLE;E&P pure play;121,89;2,71;8;3,1;33,3;14,8;95,8;2,43;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;122,13;105,14;164,6;2,5;"Highest RS vs XLE +3.1%; ADX 33; up/down vol ratio 2.43x — strongest accumulation in sector";E&P pure play — leverage to oil price both ways;
EOG;TRADE;Energy;XLE;E&P pure play;133,6;2,71;8;6,5;42,6;15,1;86,2;2,28;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;133,87;114,95;181,17;2,5;"Best RS vs XLE +6.5%; ADX 42.6; 86% of 20d range; up/down vol 2.28x";E&P oil price leverage;
PSX;TRADE;Energy;XLE;Refining/midstream;172,74;3,12;8;3,7;43,0;14,6;80,7;1,11;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;173,09;149,16;232,92;2,5;"RS +3.7%; ADX 43; at 81% of range; refining crack spreads benefit from supply disruption";Crack spread compression if oil too high;
MPC;TRADE;Energy;XLE;Refining;226,18;3,65;8;7,3;41,1;17,7;78,3;1,56;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;226,63;190,19;317,73;2,5;"RS +7.3% vs XLE; ADX 41; 78% range; 17.7% above MA50 — approaching extension limit";"High ATR% 3.65; approaching 20% MA50 extension";
VLO;TRADE;Energy;XLE;Refining;230,59;3,53;8;10,2;50,0;17,2;78,8;2,28;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;231,05;194,75;321,8;2,5;"RS +10.2% — top RS in XLE; ADX 50 (maxed); 79% of range; strongest refiner";"ADX at ceiling 50; possible trend exhaustion";
FANG;TRADE;Energy;XLE;E&P Permian;182,37;3,36;8;2,0;26,4;11,4;81,5;1,36;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;182,73;162,14;234,2;2,5;"RS +2%; ADX 26; cleanest ATR band 3.4%; solid all-round setup";Lower ADX 26 — trend less developed than peers;
NTR;TRADE;Agriculture;MOO;Potash/fertilizer;82,85;3,14;8;19,3;42,4;18,4;84,6;1,87;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;83,02;69,26;117,42;2,5;"RS +19.3% vs MOO — dominant leader; ADX 42; Iran grain shock thesis confirmed; 84% of range";"ATR compression absent; not coiling";
BG;TRADE;Agriculture;MOO;Grain trading;124,73;3,24;8;4,2;33,6;9,8;83,8;1,86;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;124,98;112,42;156,38;2,5;"RS +4.2%; ADX 34; 84% of range; Bunge — global grain trade beneficiary";Less direct Iran fertilizer exposure than NTR/MOS;
XOM;TRADE;Energy;XLE;Oil major;156,12;2,48;7;-2,8;34,7;10,5;75,9;1,6;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;156,43;139,86;197,85;2,5;"23% of XLE; ADX 35; all L4+L5 pass; L3 only miss (lagging CVX slightly)";L3 miss — slight underperformance vs XLE 20d;
OXY;TRADE;Energy;XLE;E&P;57,88;3,45;7;20,3;39,0;22,1;91,0;1,6;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;58,0;46,94;85,65;2,5;"RS +20.3% — strongest single-name RS in Energy; 91% of 20d range";L5b miss — 22.1% above MA50 = borderline extended;⚠ OVEREXTENDED
DVN;TRADE;Energy;XLE;E&P;46,25;3,06;7;-1,7;30,4;12,4;96,6;1,98;FALSE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;46,34;40,75;60,32;2,5;"ADX 30; 97% of range — highest in sector; up/down vol 1.98x";"L3 miss — slight lag vs XLE; lower beta name";
MOS;TRADE;Agriculture;MOO;Potash/fertilizer;29,31;5,21;7;0,1;19,2;5,7;57,2;1,4;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;29,37;27,46;34,15;2,5;"RS +0.1% barely positive; up/dn vol 1.40x; ADX 19 low";"ADX 19 borderline; L4c ADX/DI barely passes";
ADM;TRADE;Agriculture;MOO;Ag processing;71,98;3,04;7;5,3;17,1;8,1;78,8;2,09;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;72,12;65,9;87,67;2,5;"RS +5.3%; ADX 17 low — L4c just passes; volume confirmed 2.09x up/dn";ADX 17 weak trend — most fragile TRADE in list;
CF;TRADE;Agriculture;MOO;Nitrogen fertilizer;129,57;5,3;7;39,3;43,6;36,0;82,6;1,65;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;129,83;94,32;218,61;2,5;"RS +39.3% — explosive outperformer; ADX 44; 82% of range";"36% above MA50 — OVEREXTENDED; L5b fail; risky entry";⚠ OVEREXTENDED
CTVA;TRADE;Agriculture;MOO;Crop chemicals/seeds;79,21;2,34;7;8,6;32,5;7,2;75,9;0,81;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;79,37;73,18;94,84;2,5;"RS +8.6%; ADX 33; 76% of range; Corteva seeds/herbicides";L5c fail — up/dn ratio 0.81 < 1 = mild distribution;
IPI;TRADE;Agriculture;MOO;Specialty potash;45,26;6,54;7;42,8;38,7;31,7;72,9;1,23;TRUE;TRUE;TRUE;TRUE;TRUE;TRUE;FALSE;TRUE;45,35;34,03;73,65;2,5;"RS +42.8% — highest in entire scan; ADX 39; 73% of range";"31.7% above MA50 — OVEREXTENDED; L5b fail; thin stock";⚠ OVEREXTENDED
WMB;WATCH;Energy;XLE;Midstream gas;73,34;2,14;5;-3,8;44,2;7,8;40,6;0,38;FALSE;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;73,49;67,36;88,81;2,5;"ADX 44 strong; but only 41% of 20d range — lagging price-wise; L3 -3.8%";"Up/dn ratio 0.38 — clear distribution; avoid for now";
DE;WATCH;Agriculture;MOO;Farm machinery;577,5;3,05;4;-1,8;36,0;3,0;5,8;0,38;FALSE;TRUE;TRUE;FALSE;FALSE;TRUE;TRUE;FALSE;578,66;555,14;637,46;2,5;"Above MA50; ADX 36; but 5.8% of range = near lows; L3 -1.8%";"Only 5.8% of 20d range = at session low; wait";
